timestamp,price,size,aggressor_side
2026-03-02 12:00:13.661471659,265.900000000,1,B
2026-03-02 12:00:13.661492231,265.900000000,5,B
2026-03-02 12:00:13.661492231,265.900000000,50,B
2026-03-02 12:00:13.661492231,265.900000000,25,B
2026-03-02 12:00:13.662978005,265.900000000,100,B
2026-03-02 12:00:15.195464238,265.890000000,10,A
2026-03-02 12:00:15.195464238,265.890000000,50,A
2026-03-02 12:00:15.195464238,265.890000000,25,A
2026-03-02 12:00:15.196603346,265.890000000,20,B
2026-03-02 12:00:15.553159036,265.880000000,80,A
2026-03-02 12:00:15.553191256,265.880000000,1,A
2026-03-02 12:00:15.553334694,265.880000000,119,A
2026-03-02 12:00:15.553334694,265.880000000,81,A
2026-03-02 12:00:15.553360346,265.880000000,20,A
2026-03-02 12:00:15.553393040,265.880000000,2,A
2026-03-02 12:00:16.592790688,265.870000000,1,A
2026-03-02 12:00:16.592790688,265.870000000,59,A
2026-03-02 12:00:16.592800608,265.870000000,42,A
2026-03-02 12:00:16.592800608,265.870000000,147,A
2026-03-02 12:00:16.592829610,265.870000000,53,A
2026-03-02 12:00:16.592829610,265.870000000,1,A
2026-03-02 12:00:16.592854004,265.870000000,54,A
2026-03-02 12:00:16.592932809,265.870000000,146,A
2026-03-02 12:00:16.592955931,265.870000000,146,A
2026-03-02 12:00:16.593007202,265.870000000,26,A
2026-03-02 12:00:16.593055289,265.870000000,10,A
2026-03-02 12:00:16.597640427,265.870000000,18,A
2026-03-02 12:00:16.597640427,265.870000000,81,A
2026-03-02 12:00:16.617951476,265.870000000,19,A
2026-03-02 12:00:16.895361019,265.870000000,20,B
2026-03-02 12:00:17.182859698,265.870000000,10,A
2026-03-02 12:00:17.184473107,265.860000000,100,A
2026-03-02 12:00:17.184473107,265.860000000,100,A
2026-03-02 12:00:19.263360145,265.850000000,3,A
2026-03-02 12:00:19.263360145,265.850000000,25,A
2026-03-02 12:00:19.263360145,265.850000000,1,A
2026-03-02 12:00:19.263383683,265.850000000,1,A
2026-03-02 12:00:20.086464123,265.830000000,68,A
2026-03-02 12:00:20.447076017,265.830000000,100,A
2026-03-02 12:00:20.447076017,265.830000000,50,A
2026-03-02 12:00:20.451631022,265.820000000,1,A
2026-03-02 12:00:20.451631022,265.820000000,120,A
2026-03-02 12:00:20.606505219,265.810000000,20,A
2026-03-02 12:00:20.606505219,265.810000000,100,A
2026-03-02 12:00:20.606505219,265.810000000,50,A
2026-03-02 12:00:20.606558396,265.810000000,1,A
2026-03-02 12:00:20.606608577,265.810000000,46,A
2026-03-02 12:00:20.606638866,265.810000000,2,A
2026-03-02 12:00:20.606643489,265.810000000,51,A
2026-03-02 12:00:20.606643489,265.810000000,48,A
2026-03-02 12:00:20.606721891,265.810000000,7,A
2026-03-02 12:00:20.606832752,265.810000000,45,A
2026-03-02 12:00:20.606832752,265.810000000,100,A
2026-03-02 12:00:20.606833134,265.810000000,34,A
2026-03-02 12:00:20.606895066,265.810000000,100,A
2026-03-02 12:00:20.607011660,265.810000000,66,A
2026-03-02 12:00:20.607899451,265.810000000,20,B
2026-03-02 12:00:20.607899451,265.810000000,60,B
2026-03-02 12:00:22.272991642,265.820000000,10,A
2026-03-02 12:00:22.273019915,265.830000000,20,B
2026-03-02 12:00:22.273040278,265.830000000,50,B
2026-03-02 12:00:22.278546405,265.830000000,1,B
2026-03-02 12:00:22.296835698,265.820000000,10,A
2026-03-02 12:00:24.201308885,265.840000000,20,B
2026-03-02 12:00:24.596504926,265.840000000,100,A
2026-03-02 12:00:24.886771263,265.820000000,1,A
2026-03-02 12:00:24.886771263,265.820000000,100,A
2026-03-02 12:00:26.216199197,265.780000000,40,A
2026-03-02 12:00:26.216199197,265.780000000,1,A
2026-03-02 12:00:26.216199197,265.780000000,34,A
2026-03-02 12:00:26.216199197,265.780000000,25,A
2026-03-02 12:00:26.216506544,265.780000000,75,A
2026-03-02 12:00:26.462360504,265.780000000,1,B
2026-03-02 12:00:26.462380523,265.780000000,19,B
2026-03-02 12:00:26.462380523,265.780000000,193,B
2026-03-02 12:00:26.462380523,265.780000000,25,B
2026-03-02 12:00:27.150054893,265.790000000,97,B
2026-03-02 12:00:27.150074376,265.790000000,96,B
2026-03-02 12:00:28.406635468,265.810000000,1,B
2026-03-02 12:00:28.412911698,265.820000000,59,B
2026-03-02 12:00:28.412911698,265.820000000,100,B
2026-03-02 12:00:29.672655459,265.820000000,1,A
2026-03-02 12:00:29.770033465,265.820000000,40,B
2026-03-02 12:00:29.770033465,265.820000000,10,B
2026-03-02 12:00:29.770033465,265.820000000,20,B
2026-03-02 12:00:29.785944430,265.830000000,20,B
2026-03-02 12:00:29.801106880,265.840000000,20,B
2026-03-02 12:00:30.204613853,265.830000000,25,A
2026-03-02 12:00:30.926208904,265.820000000,104,A
2026-03-02 12:00:30.975576336,265.810000000,99,A
2026-03-02 12:00:31.468076357,265.810000000,20,B
2026-03-02 12:00:31.468102329,265.820000000,25,B
2026-03-02 12:00:31.468102329,265.820000000,50,B
2026-03-02 12:00:31.468102329,265.820000000,17,B
2026-03-02 12:00:31.468127193,265.820000000,1,B
2026-03-02 12:00:31.919392774,265.820000000,2,B
2026-03-02 12:00:33.625351763,265.820000000,18,B
2026-03-02 12:00:33.625351763,265.820000000,25,B
2026-03-02 12:00:33.628433280,265.830000000,20,B
2026-03-02 12:00:34.905500490,265.840000000,20,B
2026-03-02 12:00:35.666786524,265.840000000,20,B
2026-03-02 12:00:35.800488910,265.840000000,100,B
2026-03-02 12:00:36.699954919,265.830000000,100,A
2026-03-02 12:00:36.699954919,265.830000000,1,A
2026-03-02 12:00:36.699954919,265.830000000,9,A
2026-03-02 12:00:36.699954919,265.830000000,25,A
2026-03-02 12:00:36.699954919,265.830000000,35,A
2026-03-02 12:00:36.699979605,265.830000000,1,A
2026-03-02 12:00:36.699985427,265.830000000,64,A
2026-03-02 12:00:36.699985427,265.830000000,66,A
2026-03-02 12:00:36.705232292,265.825000000,100,A
2026-03-02 12:00:36.718361962,265.820000000,100,A
2026-03-02 12:00:37.091625044,265.820000000,10,A
2026-03-02 12:00:37.091625044,265.820000000,37,A
2026-03-02 12:00:39.081881020,265.820000000,86,A
