method,stock,train_seed,episodes,pnl,nd_pnl,sharpe,mean_abs_inventory,mean_quoted_spread,buy_notional,fills,abs_volume,max_abs_inventory
direct_as_low_risk_matched,000001,0,22,10.045454545454277,363.37530189838526,0.30584672624451686,214.81464232488824,0.02754912726236196,23720.409090909092,25.863636363636363,2881.818181818182,540.9090909090909
direct_as_low_risk_matched,000001,1,22,10.045454545454277,363.37530189838526,0.30584672624451686,214.81464232488824,0.02754912726236196,23720.409090909092,25.863636363636363,2881.818181818182,540.9090909090909
direct_as_low_risk_matched,000001,2,22,10.045454545454277,363.37530189838526,0.30584672624451686,214.81464232488824,0.02754912726236196,23720.409090909092,25.863636363636363,2881.818181818182,540.9090909090909
direct_as_low_risk_matched,000001,3,22,10.045454545454277,363.37530189838526,0.30584672624451686,214.81464232488824,0.02754912726236196,23720.409090909092,25.863636363636363,2881.818181818182,540.9090909090909
direct_as_low_risk_matched,000001,4,22,10.045454545454277,363.37530189838526,0.30584672624451686,214.81464232488824,0.02754912726236196,23720.409090909092,25.863636363636363,2881.818181818182,540.9090909090909
direct_as_low_risk_matched,000858,0,22,51.68181818181628,517.5500421900716,1.34700056468301,51.9513785394933,0.09992890442890388,145693.68181818182,21.545454545454547,2236.3636363636365,245.45454545454547
direct_as_low_risk_matched,000858,1,22,51.68181818181628,517.5500421900716,1.34700056468301,51.9513785394933,0.09992890442890388,145693.68181818182,21.545454545454547,2236.3636363636365,245.45454545454547
direct_as_low_risk_matched,000858,2,22,51.68181818181628,517.5500421900716,1.34700056468301,51.9513785394933,0.09992890442890388,145693.68181818182,21.545454545454547,2236.3636363636365,245.45454545454547
direct_as_low_risk_matched,000858,3,22,51.68181818181628,517.5500421900716,1.34700056468301,51.9513785394933,0.09992890442890388,145693.68181818182,21.545454545454547,2236.3636363636365,245.45454545454547
direct_as_low_risk_matched,000858,4,22,51.68181818181628,517.5500421900716,1.34700056468301,51.9513785394933,0.09992890442890388,145693.68181818182,21.545454545454547,2236.3636363636365,245.45454545454547
direct_as_low_risk_matched,002415,0,22,18.18181818181686,505.67344025252237,0.583684203160744,205.68880402384502,0.0357167814063669,51306.40909090909,26.727272727272727,2936.3636363636365,522.7272727272727
direct_as_low_risk_matched,002415,1,22,18.18181818181686,505.67344025252237,0.583684203160744,205.68880402384502,0.0357167814063669,51306.40909090909,26.727272727272727,2936.3636363636365,522.7272727272727
direct_as_low_risk_matched,002415,2,22,18.18181818181686,505.67344025252237,0.583684203160744,205.68880402384502,0.0357167814063669,51306.40909090909,26.727272727272727,2936.3636363636365,522.7272727272727
direct_as_low_risk_matched,002415,3,22,18.18181818181686,505.67344025252237,0.583684203160744,205.68880402384502,0.0357167814063669,51306.40909090909,26.727272727272727,2936.3636363636365,522.7272727272727
direct_as_low_risk_matched,002415,4,22,18.18181818181686,505.67344025252237,0.583684203160744,205.68880402384502,0.0357167814063669,51306.40909090909,26.727272727272727,2936.3636363636365,522.7272727272727
