method,stock,n_seeds,pnl_mean,nd_pnl_mean,sharpe_mean,mean_abs_inventory_mean,fills_mean
paper_cppo,000001,5,0.436363636363626,8.03557505773402,0.1854224804589201,0.5015834575260805,6.8
profit_ppo,000001,5,2.163636363636341,44.28796911333403,0.6939991528396667,2.166542473919523,38.6
soft_as_low_risk_lam_0p10,000001,5,9.163636363636323,282.6723086746733,0.7539777841770487,64.1947652757079,163.3
paper_cppo,000858,5,172.63636363635698,2292.5016318414687,4.662821092710596,52.124627421758575,920.3
profit_ppo,000858,5,183.82727272726825,2746.622004538108,4.379183877347023,69.1905737704918,1135.3
soft_as_low_risk_lam_0p10,000858,5,190.91818181817567,2689.4183933315594,4.667256810979557,62.3835692995529,1044.8
paper_cppo,002415,5,7.145454545453755,135.63121392987017,1.3572159964706274,5.129936661698957,72.2
profit_ppo,002415,5,11.01818181818096,240.51074579557326,1.805701403224012,8.339232488822653,139.2
soft_as_low_risk_lam_0p10,002415,5,25.436363636362138,699.4489204014847,2.202798339732292,36.17082712369597,326.9
