method,variant,stock,train_seed,day,episode_id,final_value,min_value,max_drawdown,max_abs_inventory,mean_abs_inventory,fills,abs_volume,closing_abs_volume,touched_inventory_cap
paper_cppo,paper_cppo,000001,3,2019-11-15,0,-3.9999999999997726,-6.5,7.0,100.0,4.049205535622757,2,200.0,0.0,false
paper_cppo,paper_cppo,000001,3,2019-11-15,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,false
paper_cppo,paper_cppo,000001,3,2019-11-18,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,false
paper_cppo,paper_cppo,000001,3,2019-11-18,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,false
paper_cppo,paper_cppo,000001,3,2019-11-19,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,false
paper_cppo,paper_cppo,000001,3,2019-11-19,1,2.0,0.0,0.0,100.0,0.051255766273705795,2,200.0,0.0,false
paper_cppo,paper_cppo,000001,3,2019-11-20,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,false
paper_cppo,paper_cppo,000001,3,2019-11-20,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,false
paper_cppo,paper_cppo,000001,3,2019-11-21,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,false
paper_cppo,paper_cppo,000001,3,2019-11-21,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,false
paper_cppo,paper_cppo,000001,3,2019-11-22,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,false
paper_cppo,paper_cppo,000001,3,2019-11-22,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,false
paper_cppo,paper_cppo,000001,3,2019-11-25,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,false
paper_cppo,paper_cppo,000001,3,2019-11-25,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,false
paper_cppo,paper_cppo,000001,3,2019-11-26,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,false
paper_cppo,paper_cppo,000001,3,2019-11-26,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,false
paper_cppo,paper_cppo,000001,3,2019-11-27,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,false
paper_cppo,paper_cppo,000001,3,2019-11-27,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,false
paper_cppo,paper_cppo,000001,3,2019-11-28,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,false
paper_cppo,paper_cppo,000001,3,2019-11-28,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,false
