pnl,nd_pnl,pnl_map,profit_ratio,sharpe,mean_inventory,mean_abs_inventory,mean_quoted_spread,buy_notional,method,variant,stock,day,train_seed,episode_id,episode_start,episode_events,latency_events,total_timesteps,soft_penalty,as_base_reward,bias_weight,spread_weight,penalty_norm,penalty_space,soft_penalty_end,penalty_schedule,as_gamma,as_kappa,as_calibration,eta,zeta,hard_window_bias,hard_window_spread,bc_samples,bc_epochs,encoder_checkpoint,freeze_encoder
-38.0,-1452.0814588303729,-0.16320352028194207,-0.0013475177304916755,-0.6214764447663121,-222.28483606557376,232.83811475409837,0.026169230769231337,28200.0,as_inventory_target,as_baseline,000001,2019-11-15,-1,0,0,2000,1,0,0.0,direct_quote,0.0,0.0,none,none,,none,0.030863444627147546,125.22877541262076,inventory_target,0.0,0.0,0.0,0.0,0,0,,false
61.0,2202.769823331175,0.30414303943967125,0.0016762386304259946,1.1366542775327877,185.6045081967213,200.56352459016392,0.02769230769230793,36391.0,as_inventory_target,as_baseline,000001,2019-11-15,-1,1,3797,2000,1,0,0.0,direct_quote,0.0,0.0,none,none,,none,0.030863444627147546,125.22877541262076,inventory_target,0.0,0.0,0.0,0.0,0,0,,false
50.00000000000182,1916.6429379718923,0.3324250678988903,0.0016120192152639073,1.3271210665022395,82.78688524590164,150.40983606557376,0.026087179487179618,31017.0,as_inventory_target,as_baseline,000001,2019-11-18,-1,0,0,2000,1,0,0.0,direct_quote,0.0,0.0,none,none,,none,0.030863444627147546,125.22877541262076,inventory_target,0.0,0.0,0.0,0.0,0,0,,false
3.9999999999990905,139.80951312319812,0.021119826875508882,0.0002202885780359655,0.09262466786154584,183.76024590163934,189.3954918032787,0.028610256410256208,18158.0,as_inventory_target,as_baseline,000001,2019-11-18,-1,1,3797,2000,1,0,0.0,direct_quote,0.0,0.0,none,none,,none,0.030863444627147546,125.22877541262076,inventory_target,0.0,0.0,0.0,0.0,0,0,,false
-74.99999999999955,-2709.3270040984075,-0.3343992689235367,-0.00257334019556501,-1.1755105656748324,224.2827868852459,224.2827868852459,0.027682051282051524,29145.0,as_inventory_target,as_baseline,000001,2019-11-19,-1,0,0,2000,1,0,0.0,direct_quote,0.0,0.0,none,none,,none,0.030863444627147546,125.22877541262076,inventory_target,0.0,0.0,0.0,0.0,0,0,,false
3.0,108.51379780763052,0.014632683651033733,0.00011065619121349025,0.05124461471325774,-117.41803278688525,205.0204918032787,0.027646153846154157,27111.0,as_inventory_target,as_baseline,000001,2019-11-19,-1,1,3797,2000,1,0,0.0,direct_quote,0.0,0.0,none,none,,none,0.030863444627147546,125.22877541262076,inventory_target,0.0,0.0,0.0,0.0,0,0,,false
45.99999999999932,1641.047932595159,0.28236477970088386,0.0030934767989031584,1.424380722957467,-21.721311475409838,162.90983606557376,0.028030769230769362,14870.0,as_inventory_target,as_baseline,000001,2019-11-20,-1,0,0,2000,1,0,0.0,direct_quote,0.0,0.0,none,none,,none,0.030863444627147546,125.22877541262076,inventory_target,0.0,0.0,0.0,0.0,0,0,,false
25.0,919.6344212655439,0.13235692968311347,0.0012768782879550697,0.539756765405538,-188.88319672131146,188.88319672131146,0.02718461538461615,19579.0,as_inventory_target,as_baseline,000001,2019-11-20,-1,1,3797,2000,1,0,0.0,direct_quote,0.0,0.0,none,none,,none,0.030863444627147546,125.22877541262076,inventory_target,0.0,0.0,0.0,0.0,0,0,,false
26.0,943.2523919215677,0.08373535717481416,0.0009683065807568869,0.3570744439564522,-287.0389344262295,310.50204918032784,0.027564102564102192,26851.0,as_inventory_target,as_baseline,000001,2019-11-21,-1,0,0,2000,1,0,0.0,direct_quote,0.0,0.0,none,none,,none,0.030863444627147546,125.22877541262076,inventory_target,0.0,0.0,0.0,0.0,0,0,,false
38.99999999999909,1379.7121000750633,0.3971205003780924,0.0013759525825522683,1.3020412793058973,-63.78073770491803,98.20696721311475,0.02826666666666712,28344.0,as_inventory_target,as_baseline,000001,2019-11-21,-1,1,3797,2000,1,0,0.0,direct_quote,0.0,0.0,none,none,,none,0.030863444627147546,125.22877541262076,inventory_target,0.0,0.0,0.0,0.0,0,0,,false
15.999999999998181,605.2353439205448,0.13161399062075602,0.0008827586206846844,0.5266915551773803,-39.39549180327869,121.56762295081967,0.026435897435897693,18125.0,as_inventory_target,as_baseline,000001,2019-11-22,-1,0,0,2000,1,0,0.0,direct_quote,0.0,0.0,none,none,,none,0.030863444627147546,125.22877541262076,inventory_target,0.0,0.0,0.0,0.0,0,0,,false
22.000000000000227,790.343512951649,0.06603721357390432,0.0007965530975024646,0.35295031096586194,-194.31352459016392,333.1454918032787,0.027835897435897376,27619.0,as_inventory_target,as_baseline,000001,2019-11-22,-1,1,3797,2000,1,0,0.0,direct_quote,0.0,0.0,none,none,,none,0.030863444627147546,125.22877541262076,inventory_target,0.0,0.0,0.0,0.0,0,0,,false
