method,stock,train_seed,episodes,pnl,nd_pnl,sharpe,mean_abs_inventory,mean_quoted_spread,buy_notional,fills,abs_volume,max_abs_inventory
paper_cppo,000001,0,22,0.8181818181817975,15.312012605661927,0.36196468419345673,0.9989754098360656,0.053230069930070074,972.3181818181819,13.0,1300.0,100.0
paper_cppo,000001,1,22,1.1818181818181406,22.149036548880964,0.44957661200902693,1.1619783904619971,0.053262004662004814,1047.3636363636363,14.0,1400.0,100.0
paper_cppo,000001,2,22,0.22727272727272727,3.451029008185328,0.04017426835710571,0.1443740685543964,0.06593589743589755,220.4090909090909,3.0,300.0,100.0
paper_cppo,000001,3,22,-0.09090909090908057,-1.4160200331505612,0.029942292280455328,0.1862891207153502,0.06677925407925418,148.0909090909091,2.0,200.0,100.0
paper_cppo,000001,4,22,0.045454545454545456,0.6818171590924405,0.0454545454545558,0.016300298062593144,0.06637785547785559,147.95454545454547,2.0,200.0,100.0
paper_cppo,000858,0,22,186.7727272727204,2482.5334507738075,4.801347470272415,54.13096125186289,0.07522354312354292,547312.4090909091,923.0,92400.0,350.0
paper_cppo,000858,1,22,164.27272727272174,2166.718648478253,4.582665411797587,51.13170640834576,0.07580536130536122,544983.8636363636,919.5,92000.0,300.0
paper_cppo,000858,2,22,157.8181818181757,2071.720171403394,4.457693432053553,49.69029433681073,0.07621375291375282,537299.6818181818,906.5,90700.0,300.0
paper_cppo,000858,3,22,166.13636363635734,2234.0195109369774,4.632469320508725,51.65564456035768,0.07443379953379937,547958.5909090909,924.5,92500.0,300.0
paper_cppo,000858,4,22,188.18181818180975,2507.5163776149125,4.839929828920696,54.0145305514158,0.07507296037296005,550266.9090909091,928.0,92900.0,350.0
paper_cppo,002415,0,22,6.772727272726508,117.09648175445642,1.2288092666020016,5.136922503725782,0.05775221445221434,8896.681818181818,56.0,5600.0,100.0
paper_cppo,002415,1,22,5.954545454544689,107.18309964374475,1.2603709699413108,3.9702868852459017,0.055714452214452065,8897.045454545454,56.0,5600.0,100.0
paper_cppo,002415,2,22,13.272727272726032,274.8018733229655,1.981978695881171,11.039959016393443,0.04829510489510471,20806.863636363636,131.0,13100.0,100.0
paper_cppo,002415,3,22,6.27272727272659,119.39452038826649,1.3572737661070298,3.963301043219076,0.05289720279720269,11434.272727272728,72.0,7200.0,100.0
paper_cppo,002415,4,22,3.4545454545449585,59.6800945399176,0.9576472838216232,1.5392138599105811,0.05787249417249411,7300.136363636364,46.0,4600.0,100.0
profit_ppo,000001,0,22,2.9999999999999587,64.0818268532491,0.8971348304651219,1.9630216095380029,0.046897435897436106,4861.818181818182,65.0,6500.0,100.0
profit_ppo,000001,1,22,3.4545454545453924,73.95504022210326,0.9014973231959356,5.206780923994039,0.046748484848485046,4788.772727272727,64.0,6400.0,100.0
profit_ppo,000001,2,22,1.090909090909122,19.39132420673531,0.4409588812312938,0.9267883755588673,0.05655337995338012,1045.8181818181818,14.0,1400.0,100.0
profit_ppo,000001,3,22,1.1818181818181406,22.153872120281605,0.44957661200902693,1.1619783904619971,0.053220745920746076,1047.3636363636363,14.0,1400.0,100.0
profit_ppo,000001,4,22,2.090909090909091,41.857782164300886,0.7808281172969559,1.5741430700447092,0.05018251748251763,2687.818181818182,36.0,3600.0,100.0
profit_ppo,000858,0,22,213.18181818181222,3247.852739392863,4.5716048679362595,81.3384873323398,0.06563379953379919,733833.5909090909,1237.5,123900.0,500.0
profit_ppo,000858,1,22,160.99999999999562,2292.4337341998794,4.236663797132902,59.56128912071535,0.07031212121212102,631426.0,1065.5,106600.0,350.0
profit_ppo,000858,2,22,176.18181818181563,2743.5553831039933,4.313524980975309,69.36708271236961,0.06423030303030262,708358.3636363636,1195.0,119600.0,400.0
profit_ppo,000858,3,22,187.18181818181156,2513.1194411794454,4.726069894144327,54.90173248882265,0.07449230769230748,561577.0,947.0,94800.0,400.0
profit_ppo,000858,4,22,181.5909090909062,2936.14872481436,4.048055846546314,80.78427719821163,0.061825407925407735,730293.0454545454,1231.5,123300.0,500.0
profit_ppo,002415,0,22,12.227272727271922,277.38173443436165,2.0247469594813494,8.913934426229508,0.04412750582750567,26993.363636363636,170.0,17000.0,150.0
profit_ppo,002415,1,22,11.909090909089938,270.3671871733241,1.9284399876922178,8.403967958271236,0.044216083916083775,25722.545454545456,162.0,16200.0,200.0
