method,n_units,episodes,pnl_mean,pnl_se,nd_pnl_mean,nd_pnl_se,sharpe_mean,sharpe_se,mean_abs_inventory_mean,mean_quoted_spread_mean,fills_mean,abs_volume_mean,max_abs_inventory_mean,label
paper_cppo,15,330,60.072727272724784,21.377531540885347,812.0561402763577,281.62701181081053,2.0684865232133807,0.5106190322422616,19.252049180327866,0.06365773115773109,333.1,33333.333333333336,173.33333333333334,C-PPO
profit_ppo,15,330,65.66969696969518,22.510691179270047,1010.4735731490052,332.962522917976,2.2929614778035665,0.4183210140035777,26.565449577744655,0.055064009324009254,437.7,43806.666666666664,223.33333333333334,Profit PPO
soft_as_low_risk_lam_0p10,15,330,75.17272727272471,22.0585225694211,1223.8465408025725,284.5127028747922,2.5413443116296333,0.43562405804281273,54.24972056631893,0.046842315462315404,511.6666666666667,51293.333333333336,386.6666666666667,Soft AS PPO
