method,n_units,bias_diff_mean,spread_diff_mean,l2_diff_mean,fills_mean,abs_volume_mean,mean_abs_inventory_log_mean,max_abs_inventory_mean
paper_cppo,45,0.37383299942867915,0.2607847395554495,0.4675860934266071,54.362626262626264,5507.878787878788,90.90983645544785,414.24242424242425
profit_ppo,45,0.3813272938204851,0.22955448402888085,0.46946666659914427,69.46868686868687,7021.616161616162,95.22043588610153,447.47474747474746
soft_as_low_risk_lam_0p10,45,0.17235597196505173,0.12705235146237812,0.22959284789006631,96.78686868686869,9842.222222222223,208.33762483191506,673.8383838383838
