method,latency_events,n_units,pnl_mean,nd_pnl_mean,nd_pnl_se,sharpe_mean,mean_abs_inventory_mean
paper_cppo,1,9,60.08080808080601,813.8192526091619,361.75341363718195,2.153003646302636,20.336821079648946
profit_ppo,1,9,65.69696969696795,1024.490426641121,439.9256124524456,2.321119222710141,27.671179003146214
soft_as_low_risk_lam_0p10,1,9,74.59090909090685,1246.0216167985366,353.22358082719524,2.491329464051055,58.49918239774797
paper_cppo,5,9,15.156565656564194,230.03648286903444,52.68906293540957,1.1361152277780002,42.74884367286832
profit_ppo,5,9,9.378787878786856,173.46798516277738,35.527746244378925,0.933591792012576,48.09206023271732
soft_as_low_risk_lam_0p10,5,9,12.717171717170878,268.8054516462691,98.67264615132808,0.9181272518144156,119.70682181154461
paper_cppo,10,9,-39.62626262626332,-500.50296149230076,307.3066322533894,0.6454420118899669,65.4870891103521
profit_ppo,10,9,-55.171717171718015,-817.158400929416,441.45545134261334,0.3491696795467184,70.41282615137479
soft_as_low_risk_lam_0p10,10,9,-57.19696969697048,-940.7176005807729,361.92540801657077,0.2711675281059405,174.69834734374106
paper_cppo,20,9,-110.07070707070694,-1453.823705530848,731.1098240754465,0.03492787039209144,108.20569899721478
profit_ppo,20,9,-123.14141414141406,-1859.519425842438,904.4843863971035,-0.096266186744217,112.54160853229658
soft_as_low_risk_lam_0p10,20,9,-146.3989898989902,-2545.976345808869,635.0736661426719,-0.42561555582577615,270.8379710190368
paper_cppo,50,9,-170.545454545455,-2352.7659017311094,918.6054789007312,-0.4062669063100006,217.53424948380282
profit_ppo,50,9,-185.14646464646376,-2934.727238453834,1097.7354219170868,-0.5522490841184692,217.13695016374993
soft_as_low_risk_lam_0p10,50,9,-204.3282828282824,-3602.0304238164013,811.4114217394039,-0.7623410671503423,417.40473574419974
